Time,Type,Gesture,Foot,Direction,Checkpoint,TrackerName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z
1675281184294, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184294, I, TrackerR,,,,, -0.85351, 1.90276, -5.74966, 280.45312, 288.4249, 248.3575
1675281184295, I, TrackerH,,,,, -0.85351, 1.90276, -5.74966, 280.45312, 288.4249, 248.35748
1675281184295, I, FootR,,,,, -0.85351, 1.90276, -5.74966, 280.45312, 288.4249, 248.3575
1675281184295, I, Head,,,,, -0.85351, 1.90276, -5.74966, 280.45312, 288.4249, 248.35748
1675281184307, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184308, I, TrackerR,,,,, -0.85519, 1.90214, -5.7476, 280.39615, 288.20728, 248.767
1675281184308, I, TrackerH,,,,, -0.85519, 1.90214, -5.7476, 280.39615, 288.20728, 248.76695
1675281184308, I, FootR,,,,, -0.85519, 1.90214, -5.7476, 280.39615, 288.20728, 248.767
1675281184308, I, Head,,,,, -0.85519, 1.90214, -5.7476, 280.39615, 288.20728, 248.76695
1675281184316, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184316, I, TrackerR,,,,, -0.8572, 1.90186, -5.74558, 280.31796, 288.10641, 249.0573
1675281184316, I, TrackerH,,,,, -0.8572, 1.90186, -5.74558, 280.31796, 288.10641, 249.05734
1675281184316, I, FootR,,,,, -0.8572, 1.90186, -5.74558, 280.31796, 288.10641, 249.0573
1675281184317, I, Head,,,,, -0.8572, 1.90186, -5.74558, 280.31796, 288.10641, 249.05734
1675281184328, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184328, I, TrackerR,,,,, -0.85919, 1.90165, -5.7437, 280.245, 288.0004, 249.3549
1675281184328, I, TrackerH,,,,, -0.85919, 1.90165, -5.7437, 280.245, 288.0004, 249.35489
1675281184328, I, FootR,,,,, -0.85919, 1.90165, -5.7437, 280.245, 288.0004, 249.3549
1675281184328, I, Head,,,,, -0.85919, 1.90165, -5.7437, 280.245, 288.0004, 249.35489
1675281184339, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184339, I, TrackerR,,,,, -0.86137, 1.901, -5.74181, 280.14716, 288.23187, 249.3395
1675281184339, I, TrackerH,,,,, -0.86137, 1.901, -5.74181, 280.14716, 288.23187, 249.33954
1675281184339, I, FootR,,,,, -0.86137, 1.901, -5.74181, 280.14716, 288.23187, 249.3395
1675281184339, I, Head,,,,, -0.86137, 1.901, -5.74181, 280.14716, 288.23187, 249.33954
1675281184350, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184350, I, TrackerR,,,,, -0.86374, 1.90093, -5.73946, 280.0976, 288.18637, 249.569
1675281184350, I, TrackerH,,,,, -0.86374, 1.90093, -5.73946, 280.0976, 288.18637, 249.56897
1675281184350, I, FootR,,,,, -0.86374, 1.90093, -5.73946, 280.0976, 288.18637, 249.569
1675281184351, I, Head,,,,, -0.86374, 1.90093, -5.73946, 280.0976, 288.18637, 249.56897
1675281184362, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184363, I, TrackerR,,,,, -0.86612, 1.89994, -5.73681, 280.06323, 288.2254, 249.746
1675281184363, I, TrackerH,,,,, -0.86612, 1.89994, -5.73681, 280.06323, 288.2254, 249.74605
1675281184363, I, FootR,,,,, -0.86612, 1.89994, -5.73681, 280.06323, 288.2254, 249.746
